order,word,phonetic,example,note,definition_en
1,fashion,,,,
2,clothing,,,,
3,blouse,,,,
4,shorts,,,,
5,pocket,,,,
6,button,,,,
7,uniform,,,,
8,umbrella,,,,
9,accessory,,,,
10,watch,,,,
11,glasses,,,,
12,sunglasses,,,,
13,briefcase,,,,
14,cap,,,,
15,bracelet,,,,
16,wallet,,,,
17,chain,,,,
18,earring,,,,
19,ring,,,,
20,necklace,,,,
21,jewelry,,,,
22,perfume,,,,
23,loose,,,,
24,tight,,,,
25,to fit,,,,
26,to try on,,,,
27,to put on,,,,
28,to take off,,,,
29,to change,,,,
30,worn-out,,,,
31,belt,,,,
