order,word,phonetic,example,note,definition_en
1,computer,,,,
2,information,,,,
3,chat,,,,
4,laptop,,,,
5,monitor,,,,
6,screen,,,,
7,keyboard,,,,
8,mouse,,,,
9,printer,,,,
10,DVD,,,,
11,calculator,,,,
12,username,,,,
13,password,,,,
14,the Internet,,,,
15,website,,,,
16,web page,,,,
17,online,,,,
18,email,,,,
19,message,,,,
20,video,,,,
21,post,,,,
22,comment,,,,
23,address,,,,
24,file,,,,
25,document,,,,
26,to download,,,,
27,to upload,,,,
28,to click,,,,
29,to email,,,,
30,to google,,,,
31,to sign in,,,,
32,to sign out,,,,
33,digital,,,,
34,news,,,,
35,image,,,,
36,to copy,,,,
