order,word,phonetic,example,note,definition_en
1,cinema,,,,
2,the movies,,,,
3,theater,,,,
4,artist,,,,
5,acting,,,,
6,role,,,,
7,scene,,,,
8,screen,,,,
9,character,,,,
10,director,,,,
11,hero,,,,
12,heroine,,,,
13,cartoon,,,,
14,comedy,,,,
15,detective story,,,,
16,drama,,,,
17,fantasy,,,,
18,horror,,,,
19,ending,,,,
20,adventure story,,,,
21,science fiction,,,,
22,documentary,,,,
23,Hollywood,,,,
24,review,,,,
25,performance,,,,
26,festival,,,,
27,award,,,,
28,celebrity,,,,
29,entertainment,,,,
30,to act,,,,
31,to film,,,,
32,to perform,,,,
