order,word,phonetic,example,note,definition_en
1,menu,,,,
2,order,,,,
3,pasta,,,,
4,fast food,,,,
5,hamburger,,,,
6,hot dog,,,,
7,sausage,,,,
8,pea,,,,
9,bean,,,,
10,mushroom,,,,
11,noodle,,,,
12,dessert,,,,
13,hot chocolate,,,,
14,pie,,,,
15,sauce,,,,
16,toast,,,,
17,delicious,,,,
18,flavor,,,,
19,fresh,,,,
20,salty,,,,
21,sweet,,,,
22,junk food,,,,
23,potato chip,,,,
24,French fries,,,,
25,snack,,,,
26,to order,,,,
27,to serve,,,,
28,taste,,,,
29,sour,,,,
30,to fry,,,,
31,dark chocolate,,,,
32,coffee shop,,,,
