order,word,phonetic,example,note,definition_en
1,calendar,,,,
2,century,,,,
3,decade,,,,
4,today,,,,
5,tonight,,,,
6,yesterday,,,,
7,tomorrow,,,,
8,the past,,,,
9,future,,,,
10,moment,,,,
11,lunchtime,,,,
12,long,,,,
13,short,,,,
14,early,,,,
15,late,,,,
16,daily,,,,
17,weekly,,,,
18,monthly,,,,
19,yearly,,,,
20,immediately,,,,
21,recently,,,,
22,last,,,,
23,later,,,,
24,before,,,,
25,on time,,,,
26,suddenly,,,,
27,yet,,,,
28,a.m.,,,,
29,p.m.,,,,
30,after,,,,
31,close,,,,
32,modern,,,,
33,to pass,,,,
