order,word,phonetic,example,note,definition_en
1,cash,,,,
2,dollar,,,,
3,euro,,,,
4,pound,,,,
5,cent,,,,
6,credit card,,,,
7,debit card,,,,
8,check,,,,
9,receipt,,,,
10,bill,,,,
11,price,,,,
12,cost,,,,
13,shopping,,,,
14,store,,,,
15,clothes store,,,,
16,shopping bag,,,,
17,shopping center,,,,
18,department,,,,
19,customer,,,,
20,item,,,,
21,gift,,,,
22,sale,,,,
23,cart,,,,
24,advertisement,,,,
25,available,,,,
26,free,,,,
27,open,,,,
28,closed,,,,
29,to spend,,,,
30,to offer,,,,
31,to save,,,,
32,(up|) for sale,,,,
33,to lend,,,,
34,to borrow,,,,
35,to cost,,,,
