order,word,phonetic,example,note,definition_en
1,pilot,,,,
2,boss,,,,
3,business,,,,
4,businessman,,,,
5,businesswoman,,,,
6,expert,,,,
7,manager,,,,
8,assistant,,,,
9,receptionist,,,,
10,detective,,,,
11,model,,,,
12,cook,,,,
13,pharmacist,,,,
14,journalist,,,,
15,writer,,,,
16,singer,,,,
17,professor,,,,
18,researcher,,,,
19,hairdresser,,,,
20,designer,,,,
21,cleaner,,,,
22,painter,,,,
23,instructor,,,,
24,employment,,,,
25,department,,,,
26,payment,,,,
27,shift,,,,
28,bonus,,,,
29,to employ,,,,
30,to retire,,,,
31,successful,,,,
32,employer,,,,
33,company,,,,
34,factory,,,,
