order,word,phonetic,example,note,definition_en
1,exercise,,,,
2,field,,,,
3,football,,,,
4,to throw,,,,
5,to kick,,,,
6,basketball,,,,
7,baseball,,,,
8,to hit,,,,
9,to catch,,,,
10,hockey,,,,
11,golf,,,,
12,rugby,,,,
13,cricket,,,,
14,field hockey,,,,
15,diving,,,,
16,to dive,,,,
17,training,,,,
18,to train,,,,
19,competition,,,,
20,to compete,,,,
21,jogging,,,,
22,to jog,,,,
23,climbing,,,,
24,to climb,,,,
25,game,,,,
26,player,,,,
27,goal,,,,
28,score,,,,
29,coach,,,,
30,athlete,,,,
31,cup,,,,
32,tired,,,,
33,to join,,,,
