order,word,phonetic,example,note,definition_en
1,behavior,,,,
2,personality,,,,
3,character,,,,
4,shy,,,,
5,talkative,,,,
6,serious,,,,
7,funny,,,,
8,interesting,,,,
9,boring,,,,
10,exciting,,,,
11,wonderful,,,,
12,amazing,,,,
13,excellent,,,,
14,awesome,,,,
15,kind,,,,
16,weird,,,,
17,normal,,,,
18,strange,,,,
19,nice,,,,
20,great,,,,
21,tough,,,,
22,unique,,,,
23,jealous,,,,
24,brilliant,,,,
25,creative,,,,
26,crazy,,,,
27,perfect,,,,
28,helpful,,,,
29,fair,,,,
30,rude,,,,
31,unhappy,,,,
32,confident,,,,
33,scary,,,,
34,active,,,,
35,mild,,,,
36,individual,,,,
37,foolish,,,,
38,certain,,,,
39,quiet,,,,
40,own,,,,
