order,word,phonetic,example,note,definition_en
1,fashion designer,,,,
2,farmer,,,,
3,soldier,,,,
4,officer,,,,
5,hairstylist,,,,
6,scientist,,,,
7,head,,,,
8,politician,,,,
9,organization,,,,
10,title,,,,
11,staff,,,,
12,salary,,,,
13,raise,,,,
14,overtime,,,,
15,promotion,,,,
16,recommendation,,,,
17,meeting,,,,
18,break,,,,
19,job interview,,,,
20,apprentice,,,,
21,full-time,,,,
22,part-time,,,,
23,retired,,,,
24,to hire,,,,
25,to fire,,,,
26,to earn,,,,
27,to quit,,,,
28,employee,,,,
29,dancer,,,,
30,pay,,,,
31,resume,,,,
