order,word,phonetic,example,note,definition_en
1,according to,,,,
2,as,,,,
3,like,,,,
4,within,,,,
5,below,,,,
6,underneath,,,,
7,downward,,,,
8,nearby,,,,
9,upward,,,,
10,high,,,,
11,along,,,,
12,anywhere,,,,
13,everywhere,,,,
14,nowhere,,,,
15,somewhere,,,,
16,away,,,,
17,behind,,,,
18,by,,,,
19,directly,,,,
20,down,,,,
21,up,,,,
22,underground,,,,
23,among,,,,
24,into,,,,
25,onto,,,,
26,off,,,,
27,close,,,,
28,including,,,,
29,per,,,,
30,plus,,,,
31,till,,,,
32,toward,,,,
33,unlike,,,,
34,via,,,,
35,badly,,,,
36,without,,,,
37,backward,,,,
38,but,,,,
