order,word,phonetic,example,note,definition_en
1,boxing,,,,
2,squash,,,,
3,horseback riding,,,,
4,pool,,,,
5,horse racing,,,,
6,goalkeeper,,,,
7,cyclist,,,,
8,golfer,,,,
9,soccer player,,,,
10,diver,,,,
11,captain,,,,
12,athletic,,,,
13,stadium,,,,
14,course,,,,
15,court,,,,
16,tournament,,,,
17,league,,,,
18,olympic,,,,
19,competitive,,,,
20,champion,,,,
21,final,,,,
22,half-time,,,,
23,to pass,,,,
24,racket,,,,
25,basket,,,,
26,save,,,,
27,opponent,,,,
28,referee,,,,
29,match,,,,
30,contest,,,,
31,result,,,,
32,catch,,,,
33,to disqualify,,,,
34,away game,,,,
35,home game,,,,
36,Super Bowl,,,,
