order,word,phonetic,example,note,definition_en
1,figure,,,,
2,beauty,,,,
3,attractiveness,,,,
4,stunning,,,,
5,gorgeous,,,,
6,ugliness,,,,
7,unattractive,,,,
8,chubby,,,,
9,overweight,,,,
10,obese,,,,
11,underweight,,,,
12,hairstyle,,,,
13,thick,,,,
14,to comb,,,,
15,haircut,,,,
16,to shave,,,,
17,hairy,,,,
18,gray-haired,,,,
19,fair,,,,
20,ginger,,,,
21,red,,,,
22,shiny,,,,
23,expression,,,,
24,pale,,,,
25,frown,,,,
26,grin,,,,
27,spot,,,,
28,freckle,,,,
29,well-dressed,,,,
30,race,,,,
31,little,,,,
