order,word,phonetic,example,note,definition_en
1,healthcare,,,,
2,welfare,,,,
3,medicine,,,,
4,medical,,,,
5,positive,,,,
6,negative,,,,
7,drug,,,,
8,aspirin,,,,
9,antibiotic,,,,
10,capsule,,,,
11,first-aid kit,,,,
12,bandage,,,,
13,Band-Aid,,,,
14,shot,,,,
15,to bleed,,,,
16,to suffer,,,,
17,painful,,,,
18,examination,,,,
19,test,,,,
20,operation,,,,
21,to operate,,,,
22,to treat,,,,
23,treatment,,,,
24,to cure,,,,
25,to heal,,,,
26,mental,,,,
27,to spread,,,,
28,symptom,,,,
29,to recover,,,,
30,recovery,,,,
31,prescription,,,,
32,care,,,,
33,to care for,,,,
34,first aid,,,,
35,checkup,,,,
36,to weigh,,,,
37,poison,,,,
38,to [catch] (a|) cold,,,,
