order,word,phonetic,example,note,definition_en
1,war,,,,
2,peace,,,,
3,army,,,,
4,military,,,,
5,force,,,,
6,to obey,,,,
7,to order,,,,
8,order,,,,
9,commander,,,,
10,officer,,,,
11,conflict,,,,
12,battle,,,,
13,to defeat,,,,
14,defeat,,,,
15,attack,,,,
16,to attack,,,,
17,to defend,,,,
18,defense,,,,
19,victory,,,,
20,to guard,,,,
21,weapon,,,,
22,gun,,,,
23,bullet,,,,
24,bomb,,,,
25,to fire,,,,
26,to explode,,,,
27,to shoot,,,,
28,explosion,,,,
29,enemy,,,,
30,to damage,,,,
31,damage,,,,
32,to bomb,,,,
33,peaceful,,,,
34,bloody,,,,
35,dogfighter,,,,
36,to target,,,,
37,destruction,,,,
38,combat,,,,
39,missile,,,,
40,shotgun,,,,
41,gunshot,,,,
42,gunfire,,,,
43,to question,,,,
