order,word,phonetic,example,note,definition_en
1,politics,,,,
2,candidate,,,,
3,border,,,,
4,Congress,,,,
5,council,,,,
6,county,,,,
7,court,,,,
8,diplomacy,,,,
9,election,,,,
10,to elect,,,,
11,embassy,,,,
12,government,,,,
13,local government,,,,
14,governor,,,,
15,law,,,,
16,mayor,,,,
17,parliament,,,,
18,party,,,,
19,political,,,,
20,president,,,,
21,public,,,,
22,punishment,,,,
23,right,,,,
24,to arrest,,,,
25,to ban,,,,
26,state,,,,
27,to commit,,,,
28,to escape,,,,
29,to investigate,,,,
30,to murder,,,,
31,to punish,,,,
32,to rule,,,,
33,thief,,,,
34,to vote,,,,
35,conference,,,,
36,statement,,,,
37,flag,,,,
38,blood money,,,,
39,to free,,,,
40,death penalty,,,,
41,criminal,,,adjective,
42,criminal,,,noun,
