order,word,phonetic,example,note,definition_en
1,action movie,,,,
2,animation,,,,
3,audition,,,,
4,box office,,,,
5,cast,,,,
6,classic,,,,
7,clown,,,,
8,critic,,,,
9,criticism,,,,
10,to direct,,,,
11,dramatic,,,,
12,to edit,,,,
13,editor,,,,
14,entertaining,,,,
15,film festival,,,,
16,genre,,,,
17,part,,,,
18,to produce,,,,
19,melodrama,,,,
20,movie maker,,,,
21,musical,,,,
22,script,,,,
23,scriptwriter,,,,
24,silent movie,,,,
25,special effects,,,,
26,stage,,,,
27,star,,,,
28,superhero,,,,
29,superstar,,,,
30,demigod,,,,
31,thriller,,,,
32,tragedy,,,,
33,trailer,,,,
34,villain,,,,
35,Western,,,,
