topic_index,topic_title,topic_url,order,word,phonetic,example,note,definition_en
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,1,relation,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,2,relationship,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,3,friendship,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,4,motherhood,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,5,fatherhood,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,6,relative,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,7,marriage,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,8,unmarried,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,9,engaged,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,10,separated,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,11,bride,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,12,groom,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,13,spouse,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,14,single parent,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,15,only child,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,16,family tree,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,17,mother-in-law,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,18,father-in-law,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,19,sister-in-law,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,20,brother-in-law,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,21,daughter-in-law,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,22,son-in-law,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,23,parents-in-law,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,24,generation,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,25,to abandon,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,26,to bring up,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,27,to cheat,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,28,to leave,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,29,to separate,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,30,close,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,31,related,,,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,32,love at first sight,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,1,alligator,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,2,ant,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,3,bat,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,4,rat,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,5,wolf,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,6,turtle,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,7,goldfish,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,8,bull,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,9,chimpanzee,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,10,donkey,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,11,giraffe,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,12,gorilla,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,13,rooster,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,14,kangaroo,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,15,snail,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,16,lizard,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,17,guinea pig,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,18,octopus,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,19,salmon,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,20,lobster,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,21,swan,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,22,cobra,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,23,raccoon,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,24,zebra,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,25,seal,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,26,porcupine,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,27,turkey,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,28,goose,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,29,crow,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,30,pigeon,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,31,cricket,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,32,creature,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,33,to bite,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,34,trap,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,35,bull shark,,,,
2,The Animal Kingdom,https://langeek.co/en/vocab/subcategory/139/learn,36,shellfish,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,1,palace,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,2,cabin,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,3,studio,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,4,guest house,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,5,apartment building,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,6,country house,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,7,floor,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,8,step,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,9,fireplace,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,10,chimney,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,11,driveway,,,,
3,Houses and Buildings,https://langeek.co/en/vocab/subcategory/140/learn,12,corridor,,,,
